               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.043099,            0.034994,            0.010436,             0.47994,             0.52043,             0.50697,             0.23226,            0.044285,            0.025919,            0.008707,            0.001288,            0.001288,            0.001288
                  90,            0.042582,            0.033675,            0.009952,             0.44761,             0.55972,             0.49129,             0.23521,            0.044436,            0.025878,           0.0084583,            0.001189,            0.001189,            0.001189
                  91,            0.042305,            0.032404,           0.0097181,             0.52949,             0.52361,             0.51461,             0.22906,            0.044599,             0.02585,           0.0078799,             0.00109,             0.00109,             0.00109
                  92,            0.042381,            0.031953,           0.0098481,             0.47934,              0.5447,              0.4981,             0.23391,            0.044502,             0.02582,           0.0085132,            0.000991,            0.000991,            0.000991
                  93,            0.042447,            0.033135,            0.009296,             0.58331,             0.48095,             0.48631,             0.21591,            0.044503,            0.025914,           0.0084087,            0.000892,            0.000892,            0.000892
                  94,             0.04213,            0.033154,           0.0085219,             0.46026,             0.53758,             0.51381,             0.24077,            0.044717,            0.026033,           0.0079521,            0.000793,            0.000793,            0.000793
                  95,            0.041947,            0.033053,            0.008927,             0.55685,             0.49274,              0.5107,             0.22691,            0.044995,            0.025822,           0.0077278,            0.000694,            0.000694,            0.000694
                  96,            0.041713,            0.032312,           0.0092376,             0.66237,             0.50549,             0.51494,             0.23603,             0.04421,            0.025963,           0.0075494,            0.000595,            0.000595,            0.000595
                  97,            0.042194,            0.032839,            0.010094,             0.55376,             0.53148,             0.51453,             0.25002,            0.044348,            0.025686,            0.007586,            0.000496,            0.000496,            0.000496
                  98,             0.04117,             0.03206,           0.0085638,             0.49688,              0.5367,             0.51926,             0.24093,            0.044205,            0.025517,           0.0080118,            0.000397,            0.000397,            0.000397
                  99,            0.041526,            0.033166,           0.0087556,             0.47795,             0.51795,             0.50399,             0.23145,            0.044042,             0.02582,           0.0077783,            0.000298,            0.000298,            0.000298
