               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.048061,             0.03745,            0.014664,             0.57052,             0.34179,              0.3455,             0.13372,            0.047832,            0.026529,            0.010906,            0.003466,            0.003466,            0.003466
                  68,            0.048197,            0.035333,            0.014641,             0.55207,             0.39807,             0.38149,             0.17062,            0.046949,             0.02684,            0.009607,            0.003367,            0.003367,            0.003367
                  69,             0.04893,            0.036306,             0.01471,             0.63158,              0.3672,             0.40523,             0.17439,            0.047449,            0.027615,           0.0091239,            0.003268,            0.003268,            0.003268
                  70,            0.047198,            0.036194,            0.014853,             0.46124,             0.41978,             0.35945,             0.15417,            0.047732,            0.027718,            0.010493,            0.003169,            0.003169,            0.003169
                  71,            0.047863,            0.036609,            0.013467,             0.54059,             0.41693,             0.39766,             0.16097,            0.048156,            0.027405,            0.010724,             0.00307,             0.00307,             0.00307
                  72,            0.046573,             0.03514,            0.012686,             0.51646,             0.42591,             0.39878,             0.17352,            0.047835,            0.026725,           0.0093212,            0.002971,            0.002971,            0.002971
                  73,            0.047659,            0.033215,            0.013549,             0.53062,             0.34987,             0.39705,             0.17771,            0.046226,            0.026864,           0.0094171,            0.002872,            0.002872,            0.002872
                  74,            0.047435,            0.035866,            0.013579,             0.50996,             0.41243,              0.3905,             0.17496,            0.047466,            0.026938,           0.0090256,            0.002773,            0.002773,            0.002773
                  75,            0.048016,            0.037124,            0.013072,             0.56178,             0.36608,              0.3831,             0.15973,            0.048244,            0.027314,            0.010345,            0.002674,            0.002674,            0.002674
                  76,            0.046149,            0.036867,            0.013068,             0.54964,             0.38086,              0.3949,             0.17915,            0.047147,            0.027072,           0.0092285,            0.002575,            0.002575,            0.002575
                  77,            0.046632,             0.03595,            0.013932,             0.60036,             0.43612,             0.40738,             0.18318,            0.047488,             0.02666,            0.009803,            0.002476,            0.002476,            0.002476
                  78,             0.04574,            0.035997,            0.012871,             0.51005,             0.33326,             0.36553,             0.15087,            0.047398,            0.027233,           0.0090763,            0.002377,            0.002377,            0.002377
                  79,            0.046013,            0.034461,            0.012628,             0.57701,             0.39471,             0.38602,             0.17719,            0.046416,            0.025995,           0.0098081,            0.002278,            0.002278,            0.002278
                  80,            0.046156,            0.036689,            0.012576,             0.53127,             0.41287,              0.4099,             0.18186,            0.046289,            0.027373,           0.0088566,            0.002179,            0.002179,            0.002179
                  81,            0.045897,            0.035463,            0.012382,             0.60139,             0.40131,             0.38214,             0.17296,            0.046589,             0.02655,            0.010601,             0.00208,             0.00208,             0.00208
                  82,            0.045072,            0.034169,            0.012357,              0.5627,             0.42785,             0.42681,             0.19574,             0.04545,            0.026377,            0.009206,            0.001981,            0.001981,            0.001981
                  83,             0.04586,            0.036042,             0.01232,             0.50142,              0.4545,             0.43577,             0.20074,            0.046261,            0.026634,           0.0083902,            0.001882,            0.001882,            0.001882
                  84,            0.044838,            0.036057,            0.012271,             0.63429,             0.36306,             0.40658,             0.18261,            0.046015,            0.026326,           0.0091113,            0.001783,            0.001783,            0.001783
                  85,            0.044722,            0.034682,            0.012242,             0.76328,             0.36132,             0.42021,             0.18201,            0.046024,            0.026482,           0.0093254,            0.001684,            0.001684,            0.001684
                  86,            0.046023,            0.035529,            0.013524,             0.73177,             0.41262,             0.46579,             0.20124,            0.045502,            0.026341,           0.0088377,            0.001585,            0.001585,            0.001585
                  87,            0.044619,            0.035263,            0.011415,             0.53576,             0.47112,             0.45758,             0.20651,            0.045749,            0.026531,           0.0092368,            0.001486,            0.001486,            0.001486
                  88,            0.044295,            0.036735,            0.011532,              0.5439,             0.46644,              0.4395,             0.19979,             0.04551,            0.026308,           0.0086392,            0.001387,            0.001387,            0.001387
                  89,            0.043892,            0.033827,            0.011759,             0.69668,             0.42657,             0.45323,             0.20481,             0.04553,            0.026543,           0.0089115,            0.001288,            0.001288,            0.001288
                  90,            0.043778,            0.035155,            0.010664,             0.71366,             0.35247,             0.41304,             0.17933,            0.046063,            0.026852,           0.0084754,            0.001189,            0.001189,            0.001189
                  91,             0.04397,            0.034734,            0.011679,             0.56212,             0.43257,             0.42964,             0.19439,            0.045678,            0.026136,           0.0087163,             0.00109,             0.00109,             0.00109
                  92,            0.043568,             0.03501,            0.012371,              0.5625,             0.41621,              0.4269,             0.19064,            0.044858,            0.026313,           0.0089112,            0.000991,            0.000991,            0.000991
                  93,             0.04348,            0.035301,            0.010394,             0.61496,             0.43052,             0.44316,             0.20611,            0.045603,            0.026253,            0.008862,            0.000892,            0.000892,            0.000892
                  94,            0.043096,            0.036089,            0.010896,             0.76509,             0.39828,                0.47,             0.20441,            0.045859,            0.026424,           0.0084173,            0.000793,            0.000793,            0.000793
                  95,            0.043887,            0.033182,            0.011059,             0.69165,             0.40794,             0.42037,             0.19807,            0.045203,            0.025991,           0.0086054,            0.000694,            0.000694,            0.000694
                  96,            0.043424,            0.034148,            0.011502,             0.63031,             0.42274,              0.4292,              0.1975,            0.045236,            0.026021,           0.0085762,            0.000595,            0.000595,            0.000595
                  97,            0.043567,            0.033908,            0.011732,              0.6407,             0.40916,             0.45483,             0.20795,            0.045116,            0.026007,           0.0085957,            0.000496,            0.000496,            0.000496
                  98,            0.043243,            0.034497,            0.010624,             0.64963,             0.43978,             0.45704,             0.20613,            0.045447,            0.026134,           0.0081715,            0.000397,            0.000397,            0.000397
                  99,            0.042291,            0.033855,            0.011835,             0.60168,             0.43834,             0.45765,             0.21037,            0.045003,            0.026164,           0.0081908,            0.000298,            0.000298,            0.000298
